Country,Region,Population,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars
New Caledonia,OCEANIA,219246,"11,5",7.72,15000
New Zealand,OCEANIA,4076140,"15,2",5.85,21600
Nicaragua,LATIN AMER. & CARIB,5570129,"43,0",29.11,2300
Niger,SUB-SAHARAN AFRICA,12525094,"9,9",121.69,800
Nigeria,SUB-SAHARAN AFRICA,131859731,"142,7",98.8,900
N. Mariana Islands,OCEANIA,82459,"172,9",7.11,12500
Norway,WESTERN EUROPE,4610820,"14,2",3.7,37800
Oman,NEAR EAST,3102229,"14,6",19.51,13100
Pakistan,ASIA (EX. NEAR EAST),165803560,"206,2",72.44,2100
Palau,OCEANIA,20579,"44,9",14.84,9000
Panama,LATIN AMER. & CARIB,3191319,"40,8",20.47,6300
Papua New Guinea,OCEANIA,5670544,"12,3",51.45,2200
Paraguay,LATIN AMER. & CARIB,6506464,"16,0",25.63,4700
Peru,LATIN AMER. & CARIB,28302603,"22,0",31.94,5100
Philippines,ASIA (EX. NEAR EAST),89468677,"298,2",23.51,4600
Poland,EASTERN EUROPE,38536869,"123,3",8.51,11100
Portugal,WESTERN EUROPE,10605870,"114,8",5.05,18000
Puerto Rico,LATIN AMER. & CARIB,3927188,"284,8",8.24,16800
Qatar,NEAR EAST,885359,"77,4",18.61,21500
Reunion,SUB-SAHARAN AFRICA,787584,"312,9",7.78,5800
Romania,EASTERN EUROPE,22303552,"93,9",26.43,7000
Russia,C.W. OF IND. STATES,142893540,"8,4",15.39,8900
Rwanda,SUB-SAHARAN AFRICA,8648248,"328,4",91.23,1300
Saint Helena,SUB-SAHARAN AFRICA,7502,"18,2",19.0,2500
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,"149,9",14.49,8800
Saint Lucia,LATIN AMER. & CARIB,168458,"273,5",13.53,5400
St Pierre & Miquelon,NORTHERN AMERICA,7026,"29,0",7.54,6900
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,"303,0",14.78,2900
Samoa,OCEANIA,176908,"60,1",27.71,5600
San Marino,WESTERN EUROPE,29251,"479,5",5.73,34600
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,"193,2",43.11,1200
Saudi Arabia,NEAR EAST,27019731,,13.24,11800
Senegal,SUB-SAHARAN AFRICA,11987121,"61,1",55.51,1600
Serbia,EASTERN EUROPE,9396411,"106,3",12.89,2200
Seychelles,SUB-SAHARAN AFRICA,81541,"179,2",15.53,
Sierra Leone,SUB-SAHARAN AFRICA,6005250,"83,7",143.64,500
Singapore,ASIA (EX. NEAR EAST),4492150,"6482,2",2.29,23700
Slovakia,EASTERN EUROPE,5439448,"111,4",7.41,13300
Slovenia,EASTERN EUROPE,2010347,"99,2",4.45,19000
Solomon Islands,OCEANIA,552438,"19,4",21.29,1700
Somalia,SUB-SAHARAN AFRICA,8863338,"13,9",116.7,500
South Africa,SUB-SAHARAN AFRICA,44187637,"36,2",61.81,10700
Spain,WESTERN EUROPE,40397842,"80,0",4.42,22000
Sri Lanka,ASIA (EX. NEAR EAST),20222240,"308,2",14.35,3700
Sudan,SUB-SAHARAN AFRICA,41236378,"16,5",62.5,1900
Suriname,LATIN AMER. & CARIB,439117,"2,7",23.57,400000
Swaziland,SUB-SAHARAN AFRICA,1136334,"65,5",69.27,4900
Sweden,WESTERN EUROPE,9016596,"20,0",2.77,26800
Switzerland,WESTERN EUROPE,7523934,"182,2",4.39,32700
Syria,NEAR EAST,18881361,"102,0",29.53,3300
Taiwan,ASIA (EX. NEAR EAST),23036087,"640,3",6.4,23400
Tajikistan,C.W. OF IND. STATES,7320815,"51,2",110.76,1000
Tanzania,SUB-SAHARAN AFRICA,37445392,"39,6",98.54,600
Thailand,ASIA (EX. NEAR EAST),64631595,"125,7",20.48,7400
Togo,SUB-SAHARAN AFRICA,5548702,"97,7",66.61,1500
Tonga,OCEANIA,114689,"153,3",12.62,2200
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,"207,9",24.31,9500
Tunisia,NORTHERN AFRICA,10175014,"62,2",24.77,6900
Turkey,NEAR EAST,70413958,"90,2",41.04,6700
Turkmenistan,C.W. OF IND. STATES,5042920,"10,3",73.08,5800
Turks & Caicos Is,LATIN AMER. & CARIB,21152,"49,2",15.67,9600
Tuvalu,OCEANIA,11810,"454,2",20.03,1100
Uganda,SUB-SAHARAN AFRICA,28195754,"119,5",67.83,1400
Ukraine,C.W. OF IND. STATES,46710816,"77,4",20.34,5400
United Arab Emirates,NEAR EAST,2602713,"31,4",14.51,23200
United Kingdom,WESTERN EUROPE,60609153,"247,6",5.16,27700
United States,NORTHERN AMERICA,298444215,"31,0",6.5,37800
Uruguay,LATIN AMER. & CARIB,3431932,"19,5",11.95,12800
Uzbekistan,C.W. OF IND. STATES,27307134,"61,0",71.1,1700
Vanuatu,OCEANIA,208869,"17,1",55.16,2900
Venezuela,LATIN AMER. & CARIB,25730435,"28,2",22.2,4800
Vietnam,ASIA (EX. NEAR EAST),84402966,"256,1",25.95,2500
Virgin Islands,LATIN AMER. & CARIB,108605,"56,9",8.03,17200
Wallis and Futuna,OCEANIA,16025,"58,5",,3700
West Bank,NEAR EAST,2460492,"419,9",19.62,800
Western Sahara,NORTHERN AFRICA,273008,"1,0",,
Yemen,NEAR EAST,21456188,"40,6",61.5,800
Zambia,SUB-SAHARAN AFRICA,11502010,"15,3",88.29,800
Zimbabwe,SUB-SAHARAN AFRICA,12236805,"31,3",67.69,1900
